dependabot[bot],"release, notes, https","signed-off-by, dependabot, bot","dependabot, bot, support","bot, support, github.com","from, 2.0.7, to"
Ben V. Brown,"add, fa, prep","fa, prep, time",,,
Silvan Mosberger,"readd, stateversions, were","stateversions, were, left","were, left, out","left, out, from","out, from, the"
Travis Builder,"deployed, 9ac280c8e, with","9ac280c8e, with, mkdocs","with, mkdocs, version","mkdocs, version, 1.0.4",
Tianwei Ni,"move, pyb, log","pyb, log, legacy",,,
algol60,"glyphs, cope, with","cope, with, text","with, text, that","text, that, is","that, is, too"
David Liman,"solved, the, extra","the, extra, space","extra, space, navigation","space, navigation, bar","handle, each, p"
Abhay Ram,,,,,
Ryan Mullett,"modify, file_find, to","file_find, to, find","to, find, all","find, all, files","all, files, from"
Harold Carr,"more, tests, and","tests, and, cleanup",,,
AkkshayK-98,,,,,
Yuma Y,"erase, unnecessary, file",,,,
kuma lawrence shing,"added, files, via","files, via, upload",,,
MishaDeineko1990,,,,,
Nick O'Neill,"updated, footer, test","some, additional, netlify","additional, netlify, config",,
FosterSamuel,"update, draft, of","draft, of, teaching",,,
Welbert Hime,"fazendo, ajustes, para","ajustes, para, testbench",,,
Travis Shirk,,,,,
mligor,"added, battery, percentage","battery, percentage, for","percentage, for, thermostat",,
zrong,,,,,
gabriel-chen,"merge, changes, on","changes, on, adding","on, adding, new","adding, new, members",
Florian Seidl -Schulz,"version, 0.659, satellites","0.659, satellites, work","satellites, work, now","work, now, and","now, and, can"
Matthew,"fix, text, build","text, build, artefact",,,
Minjie Zhu,"update, blog, and","blog, and, clothing",,,
Benjamin Rogge,"adding, search, builder","search, builder, class","adding, search, query","search, query, dsl",
Arindam Nayak,"signed-off-by, arindam, nayak","arindam, nayak, arindam.nayak","nayak, arindam.nayak, outlook.com","test, signed-off-by, arindam","backup, test, signed-off-by"
deepthi,"signed-off-by, deepthi, deepthi","deepthi, deepthi, planetscale.com","include, go/, ...","go/, ..., in","..., in, unit_test_race"
Morgan Tocker,"merge, pull, request","signed-off-by, morgan, tocker","morgan, tocker, tocker","tocker, tocker, gmail.com","pull, request, 5629"
Deepthi Sigireddi,"merge, pull, request","pull, request, 5619","request, 5619, from","5619, from, planetscale/tal_backup_test","from, planetscale/tal_backup_test, converted"
George McGuire,"added, color, levels","color, levels, on","levels, on, earthquake","on, earthquake, map",
Scott Lahteine,"update, readme, with","readme, with, status","with, status, badge","status, badge, etc","split, up, hal"
liminghuang,"merge, remote-tracking, branch","remote-tracking, branch, 'marlin/bugfix-2.0.x","branch, 'marlin/bugfix-2.0.x, into","'marlin/bugfix-2.0.x, into, priv-bugfix-2.0.x",
rrampen,"add, files, and","files, and, trees","and, trees, client","trees, client, 77","client, 77, co-authored-by"
Viraf Karai,"ce-47, now, handling","now, handling, gzipped","handling, gzipped, files",,
Kevin McGrevey,"correct, worst_fans_team_id, and","worst_fans_team_id, and, test","and, test, to","test, to, return","to, return, expected"
Shannon Lichtenwalter,"work, on, /guess","on, /guess, endpoint",,,
labour-camp,,,,,
liquewu,,,,,
linze,,,,,
Dan Pollak,"chore, standardize, default","standardize, default, parameter","default, parameter, setup",,
Jesse Young,"added, documentation, for","documentation, for, waittimestats",,,
Daniel Azuma,"use, google-cloud-errors, instead","google-cloud-errors, instead, of","instead, of, google-cloud-core",,
Ryan Senanayake,"fix, bug, where","bug, where, iterators","where, iterators, in","iterators, in, position","in, position, space"
Christopher M. Cantalupo,"signed-off-by, christopher, m.","christopher, m., cantalupo","m., cantalupo, christopher.m.cantalupo","cantalupo, christopher.m.cantalupo, intel.com","add, piping, to"
Stackage Build host,"checking, in, nightly-2020-01-01",,,,
tchardes,,,,,
Leonel Chaves,"creacion, de, etiqueta","creacion, de, input","creacion, de, index.html","creacion, de, formulario","de, etiqueta, nombre"
Ryuhouji,"added, macro, for","macro, for, dynamic","for, dynamic, double","dynamic, double, wild","double, wild, mons"
Mikazuki,"fix, deps, update","deps, update, emotion","update, emotion, monorepo","emotion, monorepo, to","monorepo, to, v10.0.27"
YA,,,,,
Brian Zenger,"recognize, pre-existing, objectstateudt","pre-existing, objectstateudt, if","objectstateudt, if, an","if, an, existing","an, existing, objectstateudt"
Tom Rodrigues,,,,,
Sumu,"complete, score, position","score, position, function","position, function, in","function, in, minimaxai",
choerams,,,,,
moh-hassan,"fix, license, file",,,,
lasaga09,,,,,
Caroline Nolasco,"uncommented, models, in","models, in, controller",,,
CLIFF CRELIN,"automatically, backed, up","backed, up, by","up, by, learn",,
aetter,,,,,
Nicole Rothenay,"automatically, backed, up","backed, up, by","up, by, learn",,
BenjaminSantiago,,,,,
ayerest,"fixed, category, list","category, list, style","list, style, issue",,
hayden7913,"replace, aggregation, with","aggregation, with, regualr","with, regualr, mongo","regualr, mongo, query","mongo, query, in"
ONNX Scoreboard Bot @ Azure Pipelines,"scoreboard, results, skip","results, skip, ci",,,
BenjaminRubio,,,,,
jbrockmendel,"revert, change, that","change, that, broke",,,
duianto,"update, readme, removed","readme, removed, older","removed, older, news","older, news, fixed","news, fixed, a"
steckerhalter,"merge, pull, request","pull, request, 154","request, 154, from","154, from, duianto/patch-1","from, duianto/patch-1, fix"
kiennq,"add, support, for","support, for, bsdtar","for, bsdtar, git-clone","bsdtar, git-clone, depth","git-clone, depth, 151"
Kien Nguyen,"allow, to, upgrade","to, upgrade, specific","upgrade, specific, package","specific, package, interactively","allow, force, upgrade"
bbittiker1,"update, serialize-javascript, to","serialize-javascript, to, 2.1.1","to, 2.1.1, as","2.1.1, as, per","as, per, github"
Florin-Ciprian Bodin,,,,,
Andy Situ,"automatically, backed, up","backed, up, by","up, by, learn",,
baiqiushi,"add, bipartite, support","bipartite, support, for","support, for, tree-cut","for, tree-cut, algorithm","tree-cut, algorithm, refine"
Eugene Sadocoi,,,,,
Me,,,,,
Ivan Vermeyen,,,,,
Ben Sommervlle,"block, edit, dashboard",,,,
ryan woodsmall,"python3, update, to","update, to, 3.7.6",,,
Chad Carbert,"restructure, and, rename","and, rename, src","rename, src, and","src, and, tests",
Shane Jeffery,"d3, readme, documentation","readme, documentation, done",,,
danielgaspar,,,,,
Matteo Santavicca,"fixed, minor, bug","minor, bug, in","bug, in, continuous","in, continuous, play",
GDV1,"revert, ``, herança","``, herança, ''","herança, '', this","'', this, reverts","this, reverts, commit"
Marcos Longo,"attempt, to, fix","to, fix, travis-ci","fix, travis-ci, 09",,
KS,"jpeg, file, delete","file, delete, too","delete, too, large",,
Diego Fernando Rojas Quintero,"declarar, variables, y","variables, y, expresiones",,,
joeldipops,"fixed, my, linker","my, linker, hack",,,
Dominique Leuenberger,"firefox-help-menu-kde-20200101, for, opensuse-tumbleweed-net-x86_64-build20191230-zdup-13.2","for, opensuse-tumbleweed-net-x86_64-build20191230-zdup-13.2, 64bit_cirrus",,,
TalionDiscord,"add, files, via","files, via, upload",,,
AKM Islam,,,,,
Andrea Denisse Gómez,"improved, consul, metrics","consul, metrics, by","metrics, by, using","by, using, journald",
ei1125,,,,,
Paul Gureghian,"edited, css, file",,,,
bizkin,"add, 2020, lets","2020, lets, gogit","lets, gogit, add","gogit, add, .git","add, .git, add"
takelley1,"remove, second, invocation","second, invocation, of","invocation, of, urxvt","of, urxvt, since","urxvt, since, tmux"
Ali Rizwan,"support, for, non-model","for, non-model, graphql","non-model, graphql, definitions",,
Leonis0813,,,,,
Bob Peng,,,,,
Chau Tran,,,,,
multimokia,,,,,
jcarpenter,"change, readme.md, and","readme.md, and, add","and, add, pacman.conf",,
ZyCromerZ,"merge, branch, 'quantumkiller-new-oc","branch, 'quantumkiller-new-oc, into","'', this, reverts","this, reverts, commit","'quantumkiller-new-oc, into, quantumkiller-standar"
user,"changed, client/server, mapblock","client/server, mapblock, updates","mapblock, updates, update","updates, update, readme","fixed, default, to"
Daisuke Fujimura (fd0),,,,,
Devoun,"adjustments, to, navbar","to, navbar, layout",,,
williamvietnguyen,,,,,
Jonathan Morris,"day, 19, involves","19, involves, using","involves, using, an","using, an, interfaces","an, interfaces, to"
David Hoffman,"increased, line, length",,,,
Jack Zhou,"apply, clang-format, on","clang-format, on, files","on, files, in","files, in, source/lib/encoder/codec/","in, source/lib/encoder/codec/, except"
Honza Bednář,"fix, scope, instance","scope, instance, reflection",,,
Unit Test App,"this, is, a","is, a, test","a, test, push","test, push, with","push, with, 641656"
semihcayci,"add, files, via","files, via, upload",,,
Tigermouthbear,"updated, jew, mason","jew, mason, list",,,
Jeffrey Sojack,"delete, brewery, finished",,,,
Liushui_Miaomiao,"2020.01.01, update, optimizer","update, optimizer, algorithm",,,
Shurt,,,,,
Gabriel Antonio,"arrays, associativos, e","associativos, e, multidimensionais",,,
iana,,,,,
SoyBison,,,,,
Opeyemi Adesina,"tuneups, to, the","to, the, landing","the, landing, page",,
Steve E. Fick,,,,,
Oooqf,,,,,
Guilherme,"last, index, in","index, in, array","in, array, find","array, find, the","find, the, last"
romankagan,"updated, kotlin, to","kotlin, to, 1.3.61","to, 1.3.61, and","1.3.61, and, gradle","and, gradle, to"
Nazim Uddin,,,,,
KensukeOta,,,,,
mdworken,"fixes, diaper, drive","diaper, drive, controller","drive, controller, merge","controller, merge, conflict","merge, conflict, resolution"
Gian Merlino,"an, infinite, loop","the, end, user","s3, improvements, to","improvements, to, prefix","to, prefix, listing"
Farisalenezy,"add, files, via","files, via, upload",,,
Zhi Chen,"fix, type, infer","fix, last_register_, for","last_register_, for, invokeclosure",,
Wei Chen,"relay, pass, add","pass, add, pass","add, pass, to","pass, to, remove","to, remove, unused"
opti21,,,,,
Ye Luo,"delete, tiling, optimization","tiling, optimization, in","optimization, in, ewaldref",,
DeeplyDiligent,"messenger, mobile, mode",,,,
Deep Bhattacharyya,"merge, pull, request","pull, request, 9","request, 9, from","9, from, deeplydiligent/deep/messenger-mobile","from, deeplydiligent/deep/messenger-mobile, messenger"
Travis CI User,"travis, ci, auto","ci, auto, builder","auto, builder, at","builder, at, 2020-01-01","at, 2020-01-01, 08:59"
Ben Gunn,"component, to, work","to, work, with","work, with, both","with, both, fractal","both, fractal, and"
Nebbie Zebbie,"apply, search, param","search, param, remembering","param, remembering, for","remembering, for, pagination","for, pagination, fix"
Tommy Huang,"added, logo, images","logo, images, for","images, for, contact","renamed, profile_pic, to","profile_pic, to, pic_profile"
Matt Lewis,,,,,
Josh Baker,,,,,
Francisco Abarca,"dev, instruciones, actualizadas",,,,
Lauren,,,,,
mdwgti16,"add, tomcat-servlet, and","tomcat-servlet, and, google","and, google, search","google, search, html",
BlythePollard,,,,,
Alex Roth,"add, processing, files",,,,
Joseph Budd,,,,,
Lisa,"fixed, a, mistake","a, mistake, bank","mistake, bank, war","bank, war, ein","war, ein, stack"
Nandan Mankad,,,,,
Atabek,"create, ios, app",,,,
Githubdonkey,,,,,
sdet automation,"merge, pull, request","pull, request, 2","request, 2, from","2, from, sdetautomation/feature","from, sdetautomation/feature, feature"
Zachary Seebeck,"finsihed, administration, design",,,,
pjt3591oo,"common의, injectable, 모듈을","injectable, 모듈을, 생성한","모듈을, 생성한, 후","생성한, 후, 테스트","후, 테스트, 코드와"
Jacob Tonna,"initilization, model, development","model, development, initialization","development, initialization, model","initialization, model, development","model, development, initialized"
Peter McEwen,,,,,
Kyryl Melekhin,,,,,
Mustafa İlhan,"remove, bloomreach, 958","bloomreach, 958, remove","958, remove, bloomreach","remove, bloomreach, remove","bloomreach, remove, bloomreach"
Sam Kitano,"added, delete, action","delete, action, btn","named, main, div","main, div, class","added, del, btn"
jirvingphd,"added, mysql, in","mysql, in, database.py","in, database.py, and","database.py, and, making_databases.ipynb",
akeahey,"add, files, via","files, via, upload",,,
Ron Martinez,"wip, make, many","make, many, changes",,,
alppm,"site, updated, 2020-01-01","updated, 2020-01-01, 08:59:14",,,
Michael Rose,"redirect, netlify, subdomain","netlify, subdomain, to","subdomain, to, primary","to, primary, domain",
Regina Campos,"adds, create, update","create, update, delete","merge, branch, 'development","sets, up, partial","up, partial, index"
Regina,"merge, pull, request","pull, request, 5","request, 5, from","5, from, ruhi-1/master","from, ruhi-1/master, changed"
Ruhi-1,"added, review, full","review, full, crud",,,
Chazza,,,,,
Douglas Gardner,"remove, python2, countdown",,,,
aasr-cdev,,,,,
Randy Hollines,,,,,
PPC Retweets,"december, 31p, update",,,,
Mike Wong,"improved, formatting, for","formatting, for, download","for, download, menu","download, menu, item",
gwmatthews,"fix, typo, redo","typo, redo, pdf","fix, find, out","find, out, more","out, more, pages"
Chet Husk,,,,,
Sean Wu,,,,,
dnbaker,,,,,
Chef Expeditor,"bump, version, to","version, to, 4.18.56","to, 4.18.56, by","4.18.56, by, chef","by, chef, expeditor"
guo,,,,,
Nengdong Zhuang,,,,,
Kishan Jasani,"fix, design-css, make","design-css, make, glide-dots","make, glide-dots, to","glide-dots, to, center","to, center, 21"
caoshuai,,,,,
Araq,"adapted, test, so","test, so, that","so, that, it","that, it, makes","it, makes, sense"
Conrad Pankoff,"kernel, route, all","route, all, loopback","all, loopback, traffic","loopback, traffic, through","traffic, through, the"
Tibor Nagy,"base, add, 2x","add, 2x, upscaled","2x, upscaled, liza","upscaled, liza, fonts",
Stefano Cristiano,"toolchain, fix, building","fix, building, binutils","building, binutils, on","binutils, on, macos","on, macos, with"
